education,customer_id,age,marital,job,default,balance,housing,loan
secondary,100103,33.0,married,entrepreneur,no,2,yes,yes
tertiary,100106,35.0,married,management,no,231,yes,no
primary,100118,57.0,married,blue-collar,no,52,yes,no
primary,100119,60.0,married,retired,no,60,yes,no
secondary,100121,28.0,married,blue-collar,no,723,yes,yes
secondary,100126,44.0,married,admin.,no,-372,yes,no
secondary,100130,36.0,single,technician,no,265,yes,yes
secondary,100141,44.0,divorced,services,no,2586,yes,no
tertiary,100161,32.0,married,admin.,no,0,yes,no
tertiary,100168,59.0,divorced,management,no,59,yes,no
secondary,100172,31.0,married,services,no,25,yes,yes
secondary,100184,59.0,married,admin.,no,2343,yes,no
secondary,100187,56.0,married,admin.,no,45,no,no
secondary,100188,41.0,married,technician,no,1270,yes,no
secondary,100189,46.0,divorced,management,no,16,yes,yes
secondary,100190,57.0,married,retired,no,486,yes,no
primary,100204,59.0,married,blue-collar,no,179,yes,no
secondary,100208,34.0,married,admin.,no,61,no,yes
secondary,100209,59.0,single,retired,no,30,yes,no
secondary,100222,51.0,married,blue-collar,no,26,yes,no
tertiary,100225,52.0,married,technician,no,7,no,yes
secondary,100228,34.0,married,services,no,-16,yes,yes
secondary,100230,55.0,married,services,no,2476,yes,no
secondary,100232,32.0,single,admin.,no,217,yes,no
secondary,100233,38.0,single,technician,no,1685,yes,no
primary,100241,53.0,divorced,housemaid,no,947,yes,no
secondary,100248,48.0,married,unemployed,no,293,yes,no
secondary,100252,26.0,single,student,no,0,yes,no
secondary,100254,39.0,married,management,no,18,yes,no
secondary,100263,47.0,single,services,no,176,yes,no
secondary,100265,45.0,married,technician,no,86,yes,no
tertiary,100269,54.0,married,admin.,no,184,no,no
primary,100274,35.0,single,retired,no,434,no,no
secondary,100278,34.0,married,technician,no,51,yes,no
secondary,100282,35.0,divorced,technician,no,787,yes,no
secondary,100296,33.0,single,blue-collar,no,307,yes,no
secondary,100311,38.0,married,blue-collar,no,-390,yes,no
primary,100313,59.0,divorced,housemaid,no,195,no,no
primary,100326,48.0,married,blue-collar,no,278,yes,no
primary,100335,55.0,married,blue-collar,no,627,yes,no
secondary,100339,44.0,divorced,admin.,no,66,yes,no
secondary,100351,49.0,married,admin.,no,428,yes,no
secondary,100353,34.0,single,services,no,0,yes,no
tertiary,100355,50.0,single,management,no,297,yes,no
secondary,100357,59.0,divorced,entrepreneur,no,901,yes,no
tertiary,100371,42.0,single,management,no,0,yes,yes
tertiary,100383,54.0,married,technician,no,258,no,no
primary,100399,42.0,divorced,blue-collar,no,28,yes,no
secondary,100409,44.0,married,blue-collar,no,129,yes,yes
primary,100413,55.0,divorced,services,no,96,yes,yes
secondary,100416,46.0,married,admin.,no,-358,yes,no
primary,100419,40.0,single,retired,no,0,no,no
secondary,100423,48.0,married,management,no,161,yes,no
unknown,100432,42.0,married,blue-collar,no,57,yes,no
secondary,100438,53.0,married,technician,no,56,yes,yes
tertiary,100445,34.0,married,management,no,46,yes,no
secondary,100459,40.0,married,blue-collar,no,211,yes,no
unknown,100475,48.0,married,blue-collar,no,131,yes,no
primary,100478,43.0,married,blue-collar,no,98,yes,no
secondary,100488,32.0,married,unemployed,no,10,yes,no
tertiary,100489,56.0,married,management,no,830,yes,yes
secondary,100491,60.0,divorced,retired,no,545,yes,no
secondary,100497,40.0,single,admin.,no,263,yes,no
secondary,100498,38.0,married,admin.,no,1,no,no
primary,100512,51.0,married,blue-collar,no,230,yes,no
tertiary,100525,38.0,single,technician,no,9,yes,no
tertiary,100532,42.0,married,management,no,1680,yes,no
secondary,100535,32.0,married,blue-collar,no,320,yes,no
secondary,100537,45.0,married,blue-collar,no,39,no,no
secondary,100545,34.0,married,technician,no,367,yes,no
unknown,100547,39.0,single,technician,no,45248,yes,no
SECONDARY,100558,37.0,married,technician,no,1,yes,no
SECONDARY,100561,58.0,divorced,blue-collar,no,-11,no,no
tertiary,100570,44.0,married,self-employed,no,292,yes,no
secondary,100575,34.0,married,admin.,no,869,no,no
primary,100581,51.0,married,blue-collar,no,1127,yes,no
secondary,100587,43.0,divorced,blue-collar,no,110,yes,yes
secondary,100605,41.0,married,blue-collar,no,946,yes,no
secondary,100613,55.0,divorced,unemployed,no,387,yes,no
tertiary,100624,29.0,single,management,no,0,yes,no
tertiary,100628,46.0,married,management,no,459,yes,no
secondary,100630,30.0,divorced,admin.,no,83,yes,yes
secondary,100637,48.0,married,blue-collar,no,157,yes,no
unknown,100639,34.0,married,blue-collar,no,245,yes,no
secondary,100661,52.0,married,blue-collar,no,3165,no,no
secondary,100670,28.0,single,services,no,5090,yes,no
secondary,100682,56.0,divorced,technician,no,99,yes,no
primary,100693,41.0,divorced,admin.,no,4070,yes,no
secondary,100702,37.0,married,blue-collar,no,395,yes,no
secondary,100705,51.0,married,blue-collar,no,50,yes,yes
tertiary,100712,48.0,DIVORCED,management,no,1328,yes,no
unknown,100720,40.0,single,technician,no,-5,yes,no
primary,100724,59.0,married,retired,no,-119,yes,no
secondary,100725,30.0,married,technician,no,484,yes,no
primary,100737,52.0,divorced,blue-collar,yes,-183,yes,no
secondary,100740,35.0,married,admin.,no,69,yes,yes
secondary,100747,37.0,married,technician,no,123,yes,yes
SECONDARY,100752,38.0,single,admin.,no,221,yes,no
tertiary,100753,44.0,divorced,self-employed,no,4,yes,no
secondary,100754,39.0,married,admin.,no,104,yes,no
secondary,100756,33.0,married,blue-collar,no,-349,yes,no
secondary,100762,45.0,married,services,no,1259,yes,no
SECONDARY,100767,35.0,single,admin.,no,148,yes,no
secondary,100774,29.0,married,blue-collar,no,43,yes,no
tertiary,100775,31.0,single,management,no,-173,yes,no
secondary,100782,40.0,divorced,services,no,105,yes,no
tertiary,100785,42.0,married,management,no,0,yes,no
tertiary,100787,40.0,single,management,no,242,yes,no
primary,100790,40.0,married,blue-collar,yes,0,yes,no
secondary,100795,36.0,married,technician,no,368,yes,yes
tertiary,100808,35.0,single,technician,no,226,yes,yes
tertiary,100813,36.0,married,entrepreneur,no,125,yes,no
primary,100830,51.0,divorced,blue-collar,no,325,yes,no
secondary,100833,37.0,married,blue-collar,no,183,yes,no
secondary,100835,35.0,married,services,no,109,yes,no
secondary,100839,55.0,married,retired,no,143,yes,no
secondary,100887,32.0,divorced,technician,no,210,yes,yes
primary,100893,40.0,married,retired,no,407,yes,no
tertiary,100895,46.0,married,self-employed,no,2303,yes,no
tertiary,100898,,married,management,no,305,yes,no
secondary,100901,29.0,married,technician,no,8,no,no
secondary,100903,36.0,married,services,no,184,yes,no
secondary,100921,58.0,divorced,services,no,1109,yes,yes
tertiary,100931,40.0,divorced,management,no,490,yes,no
secondary,100937,30.0,single,services,no,-174,yes,no
secondary,100941,49.0,married,blue-collar,no,64,yes,no
secondary,100944,39.0,married,blue-collar,no,72,yes,no
secondary,100950,37.0,single,admin.,no,245,yes,yes
secondary,100957,47.0,married,blue-collar,no,387,yes,no
secondary,100961,33.0,married,retired,no,165,no,no
primary,100967,49.0,married,blue-collar,no,3659,yes,no
primary,100974,35.0,single,blue-collar,no,109,yes,no
secondary,100978,45.0,married,blue-collar,no,154,yes,no
tertiary,100987,42.0,married,management,no,263,yes,no
primary,100992,53.0,divorced,services,no,-291,yes,yes
secondary,100998,38.0,single,admin.,no,100,yes,no
tertiary,101005,33.0,married,management,no,442,yes,no
tertiary,101006,35.0,married,management,no,267,yes,no
tertiary,101024,30.0,single,services,no,542,yes,no
secondary,101025,32.0,married,blue-collar,no,-205,yes,no
secondary,101029,52.0,married,blue-collar,no,-98,yes,no
secondary,101040,26.0,married,services,no,0,yes,no
secondary,101058,57.0,married,retired,no,502,yes,no
secondary,101059,38.0,married,services,no,-32,yes,no
primary,101060,39.0,married,blue-collar,no,106,yes,no
secondary,101070,30.0,single,services,no,21,yes,no
secondary,101072,33.0,married,technician,no,0,yes,no
secondary,101074,58.0,married,retired,no,268,yes,no
secondary,101075,31.0,married,unemployed,no,-825,yes,no
secondary,101076,38.0,single,admin.,no,137,yes,yes
secondary,101077,60.0,married,retired,no,42,yes,yes
primary,101080,52.0,married,admin.,no,270,yes,no
secondary,101123,31.0,divorced,admin.,no,308,yes,no
